object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
130,6,22,3.40833,-0.374741,1.20341,0,0,1,0,1,-0,1.23014,1.07616,0.474864,o
131,6,39,1.84481,-1.19607,1.3677,0,1,0,1,-0,0,2.56673,2.23471,1.37798,o
132,6,3,1.51772,-1.23833,0.0531784,0,1,0,1,-0,0,2.39034,1.8971,0.0878669,o
133,6,8,0.640954,0.386358,1.44541,0.92388,0.382683,0,-0,0,1,1.26461,1.20805,0.864793,o
134,6,2,1.30442,-1.1739,2.72665,0,1,0,1,-0,0,2.33605,1.64996,0.0408435,o
135,6,260,-0.133726,-3.07302,1.72816,0,0,1,1,0,0,0.262067,0.198314,0.116789,o
136,6,0,1.54247,-1.17564,1.36756,0,1,0,1,-0,0,2.37175,1.92185,1.39366,o
137,6,4,2.93554,-2.46376,1.59282,0,0,1,2.22045e-16,1,-0,0.496837,0.47312,0.0257326,o
138,6,22,-0.212401,-0.0828242,0.805195,0,0,1,0,1,-0,0.696018,0.513503,0.160618,o
139,6,1,2.1266,1.17172,1.19234,0,0,1,1,0,0,1.21961,0.463762,0.0270411,o
140,6,8,1.32755,-2.42389,1.37258,-1,2.22045e-16,0,0,0,1,1.5939,1.30487,1.19882,o
141,6,6,0.831548,-1.32046,0.583407,0,0,1,0,1,-0,0.33897,0.321965,0.258724,o
142,6,215,1.27828,-1.30008,0.503028,0,1,0,0,0,1,0.861328,0.500676,0.458371,o
143,6,22,-0.19571,-2.81319,0.778449,0,0,1,2.22045e-16,1,-0,0.66251,0.505228,0.150182,o
144,6,1,1.36596,-3.47838,1.32543,0,0,1,1,0,0,1.3162,0.634754,0.04083,o
145,6,5,1.08942,1.25347,1.29725,0,0,1,1,0,0,0.699037,0.434135,0.10487,o
146,6,4,-0.317464,-1.46091,1.53418,0,0,1,2.22045e-16,1,-0,0.791123,0.691831,0.0448021,o
147,6,6,1.86711,-1.70056,0.584859,0,1,0,1,-0,0,0.339362,0.313465,0.211008,o
148,6,15,-0.212893,0.153794,1.6449,0,0,1,0,1,-0,0.236746,0.196928,0.143975,o
149,6,133,1.84752,-1.26707,0.571863,2.22045e-16,1,0,-1,2.22045e-16,0,0.706551,0.338035,0.215535,o
150,6,40,-0.193548,-2.55773,1.65762,0,0,1,0,1,-0,0.197633,0.150935,0.0866236,o
151,6,4,-0.283798,-2.75729,1.72044,2.22045e-16,1,0,-0,0,1,0.254078,0.228841,0.0308644,o
152,6,7,2.38919,-3.552,1.25251,0,0,1,-1,2.22045e-16,0,1.19979,0.501541,0.0776006,o
153,6,4,-0.295333,-0.132001,1.69705,2.22045e-16,1,0,-0,0,1,0.285066,0.226979,0.0402041,o
