object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
162,10,25,13.3214,7.44366,0.512689,1,0,0,0,1,0,1.14082,0.964115,0.423697,b
163,10,2,12.5075,7.52584,3.04946,1,0,0,0,1,0,1.98834,1.39898,0.030085,b
164,10,5,13.5302,8.81952,1.63266,0,0,1,1,0,0,0.745975,0.201827,0.0375462,b
165,10,8,13.7459,9.01884,1.65142,0,0,1,0.707107,0.707107,-0,0.722021,0.196621,0.130483,b
166,10,7,11.7483,6.03616,1.07569,0,0,1,-1,2.22045e-16,0,1.07777,0.663454,0.115207,b
167,10,0,12.502,7.55085,1.54826,1,0,0,0,1,0,2.01083,1.66564,1.57145,b
168,10,1,12.0547,8.89092,1.0557,-1,2.22045e-16,0,0,0,1,1.16778,1.08829,0.0616488,b
169,10,39,12.4233,7.45048,1.4214,1,0,0,0,1,0,2.10297,1.76278,1.67372,b
170,10,6,10.8211,8.50973,0.513438,0,0,1,1,0,0,0.370349,0.244181,0.21481,b
171,10,13,13.9193,8.80419,1.68192,0,0,1,-1,2.22045e-16,0,1.03283,0.220004,0.113962,b
172,10,13,13.2667,8.78745,1.63857,0,0,1,1,0,0,1.07577,0.255156,0.133744,b
173,10,76,10.8379,7.49287,0.503034,0,1,0,0,0,1,0.603588,0.525463,0.324447,b
174,10,66,12.8399,7.57268,2.43378,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.631337,0.616616,0.0778919,b
175,10,9,14.2171,7.50729,0.880944,0,1,0,1,-0,0,0.364007,0.240273,0.195048,b
176,10,9,14.3029,6.91982,0.830317,0,1,0,0,0,1,0.269731,0.179686,0.154813,b
177,10,1,11.0227,6.46854,1.02517,0,0,1,-0.707107,0.707107,0,1.03694,0.391231,0.0911218,b
178,10,17,11.563,6.0567,2.65478,-1,2.22045e-16,0,0,0,1,0.406604,0.364254,0.0734899,b
179,10,9,14.3,8.09107,0.816647,2.22045e-16,1,0,-0,0,1,0.250056,0.171634,0.157714,b
180,10,26,14.2447,6.46586,0.364619,0,0,1,1,0,0,0.262238,0.202205,0.152991,b
181,10,26,14.2678,8.53727,0.310267,0,0,1,1,0,0,0.30778,0.184875,0.159296,b
183,10,3,12.4701,7.39065,0.10362,1,0,0,0,1,0,1.95646,1.50458,0.141574,b
