object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
377,33,4,-0.575865,-3.93777,3.85318,0,0,1,1,0,0,0.156903,0.155036,0.0185239,z
795,33,0,-0.673361,-4.27118,1.45283,0,0,1,1,0,0,1.41706,1.26316,0.469027,z
796,33,0,-0.50835,-5.55817,1.46105,0,0,1,1,0,0,1.42746,1.07557,0.832482,z
797,33,7,0.536191,-5.50031,1.32712,0,0,1,2.22045e-16,1,-0,1.28618,0.5676,0.0311365,z
799,33,12,-1.71124,-5.09913,1.25907,2.22045e-16,1,0,-0,0,1,1.26916,1.21477,0.259905,z
801,33,39,-0.721493,-5.02068,1.44807,1,0,0,-0,0,1,1.5006,1.42126,1.34317,z
803,33,1,-0.604981,-6.38809,1.28768,0,0,1,1,0,0,1.24423,0.564245,0.059689,z
804,33,7,-0.710084,-6.35806,1.35464,0,0,1,-1,2.22045e-16,0,1.29873,0.556843,0.0220051,z
805,33,1,0.543549,-5.49932,1.24267,0,0,1,0,1,-0,1.2009,0.410854,0.0392818,z
806,33,3,-0.520063,-5.02703,0.0762361,0,1,0,1,-0,0,1.3502,1.08106,0.0760466,z
807,33,7,-1.01552,-3.77675,1.15786,0,0,1,1,0,0,1.1276,0.571343,0.117741,z
