object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
520,28,3,0.477259,-9.22048,6.68853,-0.707107,0.707107,0,0.707107,0.707107,0,2.11203,1.23092,0.068563,a
521,28,0,0.82788,-10.4654,7.95192,-0.92388,0.382683,0,0,0,1,1.34184,1.31784,0.583212,a
522,28,8,1.15464,-8.17797,8.1777,0,0,1,-0.707107,0.707107,0,0.712384,0.0795373,0.0367515,a
523,28,1,1.06717,-8.3642,7.96061,-0.707107,0.707107,0,0,0,1,1.62943,1.28259,0.245876,a
524,28,0,1.3547,-9.00012,7.94953,-0.382683,0.92388,0,0,0,1,1.70403,1.30943,0.308752,a
525,28,5,-0.845751,-9.20757,9.03351,0,0,1,0.92388,0.382683,-0,0.571554,0.373494,0.278486,a
526,28,0,-0.732176,-7.61325,7.96834,0,0,1,0.92388,0.382683,-0,1.2851,1.02195,0.191912,a
527,28,2,0.363055,-9.38178,9.2592,-0.382683,0.92388,0,0.92388,0.382683,0,2.06412,1.35396,0.0657582,a
528,28,256,-0.966177,-8.75144,7.22051,-0.382683,0.92388,0,0.92388,0.382683,0,0.848456,0.372058,0.337189,a
529,28,0,-0.964471,-9.13435,8.23149,0,0,1,-0.382683,0.92388,0,1.28771,1.15007,0.237995,a
530,28,5,1.64445,-10.9653,8.49964,0,0,1,0.92388,0.382683,-0,0.746693,0.333414,0.128324,a
531,28,437,1.02084,-9.81901,8.79784,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.704194,0.142194,0.0774131,a
532,28,94,1.86574,-10.0805,6.95044,-0.707107,0.707107,0,0,0,1,0.554233,0.310529,0.249148,a
533,28,27,-0.424254,-9.7411,6.96266,0.92388,0.382683,0,-0.382683,0.92388,0,0.273082,0.223654,0.203296,a
534,28,15,-0.743421,-9.18757,7.91132,0,0,1,-0.707107,-0.707107,0,0.37389,0.292626,0.15672,a
535,28,8,-1.80621,-8.30495,8.32472,0,0,1,0.92388,0.382683,-0,0.615091,0.0516938,0.0297764,a
536,28,7,-0.201893,-7.33634,7.91841,0,0,1,0.92388,0.382683,-0,1.23365,0.376996,0.109845,a
537,28,5,0.298281,-10.0319,7.97156,0,0,1,-0.382683,0.92388,0,1.29112,0.197022,0.0507276,a
538,28,122,0.322592,-7.69952,9.23718,0.707107,0.707107,0,-0.707107,0.707107,0,0.0602874,0.0571185,0.0146646,a
539,28,20,-0.78356,-7.78326,7.60291,0.92388,0.382683,0,-0,0,1,0.239694,0.128083,0.0749316,a
540,28,19,-1.36924,-8.53497,8.29427,0,0,1,-0.382683,0.92388,0,0.54573,0.220429,0.0523874,a
541,28,163,-0.612849,-9.01073,7.09774,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.228099,0.130163,0.0721469,a
542,28,163,-0.96541,-8.30577,7.0983,-0.382683,0.92388,0,0,0,1,0.21699,0.0720479,0.067084,a
543,28,20,-1.11351,-8.8354,7.60467,0.92388,0.382683,0,-0.382683,0.92388,0,0.11407,0.103579,0.0648053,a
544,28,192,-1.2521,-8.73098,7.61402,-0.382683,0.92388,0,0,0,1,0.069452,0.0674543,0.0404942,a
545,28,39,0.130713,-8.94575,8.30609,0,0,1,-0.92388,-0.382683,0,1.29359,1.28193,0.360095,a
