object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
21,1,1633,-1.58552,5.32779,3.03155,0,0,1,-1,2.22045e-16,0,0.388979,0.30014,0.254678,h
22,1,3,-1.8576,-0.296816,0.0679012,0,1,0,1,-0,0,8.17418,1.49026,0.103765,h
23,1,0,-1.51748,4.62889,1.97765,2.22045e-16,1,0,-0,0,1,3.24849,1.99442,0.810051,h
24,1,239,-1.10424,-2.59192,3.54371,2.22045e-16,1,0,-1,2.22045e-16,0,3.1249,0.18115,0.123583,h
25,1,0,-1.03622,-2.66979,1.79561,2.22045e-16,1,0,-0,0,1,3.08256,1.80055,0.213864,h
26,1,0,-2.19671,-2.57427,1.78692,0,1,0,0,0,1,3.17786,1.78897,0.13451,h
27,1,2,-1.90576,-7.42933,2.97718,-1,2.22045e-16,0,2.22045e-16,1,0,1.35732,1.00632,0.122003,h
28,1,2,-1.62388,-0.47647,3.58413,2.22045e-16,1,0,-1,2.22045e-16,0,5.24662,0.707337,0.0933867,h
29,1,0,-1.75768,-6.13411,1.78683,0,0,1,-1,2.22045e-16,0,1.7902,1.55712,0.46056,h
30,1,0,-1.52038,-8.43374,1.53306,0,0,1,-1,2.22045e-16,0,1.50265,0.548573,0.0687079,h
31,1,0,-0.800773,-8.00108,1.51181,0,0,1,2.22045e-16,1,-0,1.49163,0.458237,0.238162,h
32,1,0,-3.25745,-7.05581,1.55748,0,0,1,2.22045e-16,1,-0,1.52707,0.632823,0.100652,h
33,1,0,-2.63854,-8.02959,1.54434,0,0,1,1,0,0,1.53481,0.682268,0.44137,h
34,1,0,-1.11074,6.3681,1.96883,0,0,1,0.382683,0.92388,-0,2.00267,1.44861,0.510572,h
35,1,0,-0.520175,-6.97755,1.5283,0,0,1,-0.382683,0.92388,0,1.52629,0.547949,0.288345,h
36,1,0,-2.23264,6.7298,1.45096,0,0,1,0,1,-0,1.47483,1.14756,0.0998201,h
38,1,39,-1.3331,-1.62787,1.04165,2.22045e-16,1,0,-0,0,1,6.87458,1.06394,0.712485,h
39,1,10,-0.739691,5.02372,0.767442,0,0,1,-0.707107,0.707107,0,0.772344,0.056744,0.0340388,h
40,1,32,-1.97498,1.92607,0.494275,0,0,1,0,1,-0,0.312943,0.25505,0.228458,h
41,1,32,-1.98298,2.78078,0.531652,0,0,1,0,1,-0,0.346186,0.253491,0.220761,h
42,1,32,-1.95167,3.68536,0.648033,0,0,1,0,1,-0,0.475951,0.256996,0.252146,h
43,1,262,-2.15406,-1.2325,0.941664,0,1,0,0,0,1,0.847429,0.220547,0.132051,h
44,1,65,-2.14484,2.75748,0.966112,2.22045e-16,1,0,-0,0,1,1.37707,0.194202,0.188569,h
45,1,150,-0.82089,-8.10416,1.30426,0,1,0,0,0,1,0.331492,0.320507,0.0823321,h
46,1,4,-0.943337,7.36538,1.30155,2.22045e-16,1,0,-0,0,1,0.194203,0.176548,0.0115802,h
47,1,4,-1.15528,-5.24,1.55556,2.22045e-16,1,0,-0,0,1,0.335581,0.275632,0.0117559,h
48,1,240,-2.0743,-0.0131207,1.794,0,0,1,1,0,0,0.245283,0.093833,0.0621986,h
49,1,240,-2.08883,-2.22767,1.81767,0,0,1,1,0,0,0.223762,0.10715,0.0660012,h
