object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
5,3,0,2.44126,-1.60561,-1.28941,0,0,1,-1,2.22045e-16,0,1.03372,0.615067,0.144229,z
113,3,1324,3.75257,-0.659432,-0.269849,-1,2.22045e-16,0,2.22045e-16,1,0,1.87747,0.633095,0.291661,z
114,3,0,3.71253,-0.771582,-1.20794,1,0,0,-0,0,1,1.94429,1.16777,0.82452,z
115,3,0,2.96037,-1.18413,-0.840311,-1,2.22045e-16,0,0,0,1,0.930145,0.843355,0.0592864,z
116,3,39,3.75638,-0.616429,-1.18682,-1,2.22045e-16,0,0,0,1,1.88239,1.18183,0.618309,z
117,3,691,3.38186,-0.730292,-1.30211,-1,2.22045e-16,0,0,0,1,1.51439,1.09564,0.504303,z
118,3,0,3.01094,-1.50124,-1.28233,-1,2.22045e-16,0,0,0,1,1.32015,1.05545,0.199164,z
119,3,1257,3.58945,-0.39086,-1.92332,1,0,0,-0,0,1,1.3073,0.476514,0.347665,z
120,3,3,3.41281,-0.607961,-2.32463,-1,2.22045e-16,0,2.22045e-16,1,0,1.51727,0.370891,0.077606,z
122,3,4,3.61967,-1.1885,-0.0385237,1,0,0,0,1,0,0.127242,0.0347477,0.0296469,z
346,3,851,3.51968,-0.195139,0.466902,0,0,1,-1,2.22045e-16,0,0.505534,0.387695,0.251112,z
354,3,405,5.58663,-1.26713,0.511573,0,0,1,-0.92388,-0.382683,0,0.49053,0.0849918,0.0461012,z
355,3,3,2.14597,-0.278912,-0.0405908,1,0,0,0,1,0,3.57323,1.10177,0.0937998,z
375,3,4,4.3428,-1.50729,0.215425,0,0,1,-0.707107,0.707107,0,0.155186,0.0536358,0.0374319,z
