object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
217,11,39,12.1311,5.63017,1.09735,-1,2.22045e-16,0,2.22045e-16,1,0,2.50276,2.15658,1.32149,b
218,11,0,12.0173,5.65827,1.40609,1,0,0,0,1,0,2.41147,2.16164,1.42129,b
219,11,37,12.2412,7.68193,1.73285,1,0,0,-0,0,1,0.694225,0.434719,0.0557997,b
220,11,13,14.304,4.17772,1.40786,0,0,1,2.22045e-16,1,-0,1.41426,0.679683,0.162695,b
221,11,13,14.3279,6.89568,1.40993,0,0,1,0,1,-0,1.41135,0.538883,0.140562,b
222,11,2,12.0553,5.63143,2.79234,-1,2.22045e-16,0,2.22045e-16,1,0,2.36739,2.12419,0.0394197,b
223,11,41,12.2889,7.41644,0.383066,1,0,0,-0,0,1,0.65154,0.382318,0.29911,b
224,11,5,14.4968,5.63237,1.65707,0,1,0,0,0,1,1.02015,0.764427,0.133661,b
225,11,1,9.78468,7.08691,1.24132,0,0,1,2.22045e-16,1,-0,1.24774,0.459526,0.178851,b
226,11,175,11.8419,7.57481,0.782525,1,0,0,0,1,0,0.154733,0.151786,0.0890575,b
227,11,6,12.4029,7.02968,0.376222,0,0,1,-0.92388,-0.382683,0,0.373116,0.316501,0.314405,b
228,11,5,10.5695,3.61338,1.36842,0,0,1,-1,2.22045e-16,0,1.09586,0.451732,0.0826826,b
229,11,8,11.0381,7.22836,1.3356,0,0,1,0,1,-0,1.28942,0.579783,0.255949,b
230,11,159,12.037,4.07426,0.578411,1,0,0,0,1,0,0.732069,0.43764,0.357115,b
231,11,25,12.1028,4.57408,0.456852,2.22045e-16,1,0,-1,2.22045e-16,0,1.03207,0.861576,0.467748,b
232,11,26,13.0771,3.92221,0.33636,0,0,1,-0.707107,0.707107,0,0.343146,0.219896,0.219325,b
233,11,79,13.9922,5.44537,0.212518,-0.382683,0.92388,0,0.92388,0.382683,0,0.384486,0.338752,0.208218,b
234,11,15,12.7665,7.44587,1.09804,0,0,1,-0.707107,0.707107,0,0.441686,0.157863,0.096802,b
235,11,11,13.4506,3.87879,1.90598,0.92388,0.382683,0,-0,0,1,0.203113,0.180476,0.156948,b
236,11,4,11.9516,3.57414,1.76933,-1,2.22045e-16,0,0,0,1,0.648015,0.523879,0.0319965,b
238,11,5,13.394,3.58257,1.36303,0,0,1,1,0,0,1.08514,0.488185,0.0829979,b
239,11,57,12.3406,7.39056,0.740233,0,1,0,1,-0,0,0.131671,0.102596,0.0430521,b
240,11,11,10.5608,4.02285,1.9453,-0.92388,0.382683,0,0,0,1,0.180081,0.177367,0.132889,b
241,11,3,12.0062,5.66357,0.131662,-1,2.22045e-16,0,2.22045e-16,1,0,2.39699,2.1478,0.266477,b
242,11,78,11.9964,5.23624,0.0261973,1,0,0,0,1,0,1.20677,0.829246,0.0328288,b
263,11,0,13.5377,7.74398,1.20225,0,0,1,-0.707107,0.707107,0,1.18779,0.0465746,0.0168033,b
286,11,0,11.0792,7.71891,2.0744,0,0,1,0.92388,0.382683,-0,0.333543,0.0600874,0.023098,b
