object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
25,1,0,5.55468,0.0686609,2.74487,1,0,0,0,1,0,3.60739,3.31336,2.83646,z
26,1,3,5.58118,0.059709,0.100466,1,0,0,0,1,0,3.54691,2.92311,0.212354,z
27,1,48,5.53622,-1.75887,1.44622,1,0,0,-0,0,1,3.57835,1.51276,1.16954,z
28,1,48,5.58454,2.00463,1.4627,-1,2.22045e-16,0,0,0,1,3.561,1.49984,1.18538,z
29,1,41,4.69767,1.46218,0.801338,-1,2.22045e-16,0,0,0,1,2.14534,0.757163,0.417426,z
30,1,39,5.15085,0.0551302,2.03917,1,0,0,0,1,0,3.19926,3.15201,2.12039,z
31,1,41,4.58132,-1.39404,0.806751,-1,2.22045e-16,0,0,0,1,1.68326,0.74612,0.417728,z
32,1,1,9.10704,0.102185,1.05945,0,0,1,2.22045e-16,1,-0,1.11184,0.889974,0.0590339,z
33,1,41,4.24796,0.0343587,0.699912,0,0,1,1,0,0,0.785815,0.452722,0.34883,z
34,1,-1,5.45445,2.78864,0.172056,-1,2.22045e-16,0,2.22045e-16,1,0,2.50998,0.129679,0.0864047,z
