object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
240,12,7,4.59676,1.00716,1.0779,0,0,1,-1,2.22045e-16,0,1.08062,0.789824,0.0782582,c
241,12,2,4.55555,0.0909422,2.2776,0,1,0,1,-0,0,0.885763,0.85819,0.192452,c
242,12,78,5.32052,0.241159,0.904535,0,0,1,0,1,-0,0.911492,0.631534,0.097975,c
243,12,0,4.56021,0.118155,1.22939,0,0,1,0,1,-0,1.23281,0.915795,0.862848,c
244,12,22,4.44273,-0.493981,2.02897,1,0,0,0,1,0,0.739412,0.299199,0.238085,c
246,12,108,5.05986,1.25963,1.09387,0,0,1,1,0,0,1.0189,0.351151,0.32427,c
247,12,1,3.8149,0.60687,1.10764,0,0,1,0,1,-0,1.1107,0.436315,0.100366,c
248,12,39,4.63404,0.207453,1.04644,0,0,1,0,1,-0,1.0455,0.98479,0.781588,c
249,12,22,4.42413,-0.57494,0.99782,1,0,0,0,1,0,0.718131,0.212898,0.114149,c
442,12,368,4.28196,-0.298627,3.37509,-1,2.22045e-16,0,0,0,1,1.14444,0.676941,0.0991414,c
