object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
123,5,8,-9.67842,24.2334,3.88643,1,0,0,-0,0,1,0.648419,0.216142,0.0596151,a
124,5,5,-8.16794,23.9926,5.14814,0,0,1,2.22045e-16,1,-0,1.02906,0.684556,0.156707,a
125,5,56,-9.87504,24.6393,4.6672,1,0,0,-0,0,1,0.677937,0.540986,0.303827,a
126,5,13,-8.33092,24.06,5.52138,0,0,1,2.22045e-16,1,-0,1.4022,0.885345,0.30402,a
127,5,0,-10.443,24.2301,5.64813,0,0,1,2.22045e-16,1,-0,1.52758,0.75125,0.116765,a
128,5,8,-9.67477,24.174,4.88135,0,0,1,1,0,0,0.76408,0.657877,0.0665016,a
129,5,0,-9.14439,23.205,5.42333,0,0,1,-1,2.22045e-16,0,1.30612,0.704736,0.0332108,a
130,5,0,-9.44082,24.8895,5.63772,0,0,1,1,0,0,1.53023,1.10188,0.0716562,a
131,5,20,-8.78775,24.8013,5.67332,1,0,0,-0,0,1,0.356775,0.274772,0.140164,a
132,5,0,-9.55597,23.1056,5.67865,0,0,1,0,1,-0,0.898943,0.0877542,0.0369134,a
133,5,39,-9.28774,23.9893,5.63858,0,0,1,1,0,0,1.53566,1.27066,0.933475,a
134,5,43,-9.43035,24.0599,6.94406,1,0,0,0,1,0,1.11135,0.882648,0.240146,a
135,5,27,-8.7648,24.5373,4.57731,0,0,1,0,1,-0,0.471089,0.396817,0.324584,a
136,5,7,-9.83881,23.1495,5.4208,0,0,1,1,0,0,1.30219,0.462453,0.134411,a
137,5,512,-9.91662,24.7538,5.09534,1,0,0,0,1,0,0.627017,0.208699,0.160353,a
138,5,1,-10.1582,23.5657,5.37607,0,0,1,2.22045e-16,1,-0,1.25093,0.411952,0.0896988,a
139,5,6,-9.06096,23.4279,4.53793,0,0,1,2.22045e-16,1,-0,0.441673,0.256412,0.238715,a
141,5,21,-9.72287,24.6585,4.9373,-0.92388,0.382683,0,0.382683,0.92388,0,0.322567,0.208924,0.0985742,a
142,5,3,-9.33156,23.9717,4.20609,1,0,0,0,1,0,1.09492,0.950389,0.109832,a
