object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
25,1,0,-12.0473,5.89599,1.52463,0,1,0,0,0,1,1.88288,1.54072,1.10699,p
26,1,2,-12.2632,5.81699,2.14485,0,1,0,0,0,1,1.96084,0.965218,0.899865,p
27,1,1,-11.1867,6.8017,1.22633,0,0,1,0,1,-0,1.23188,0.475835,0.118962,p
28,1,6,-12.8138,6.56328,0.251122,0.707107,0.707107,0,-0.707107,0.707107,0,0.479822,0.294353,0.266267,p
29,1,0,-12.2597,4.02357,1.33848,0,0,1,-1,2.22045e-16,0,1.36189,0.889184,0.136028,p
30,1,0,-12.2612,7.54885,1.34268,0,0,1,-1,2.22045e-16,0,1.33463,0.906065,0.120114,p
31,1,1,-11.1629,4.97307,1.20236,0,0,1,0,1,-0,1.22179,0.7428,0.151218,p
32,1,39,-12.0512,5.76945,1.50908,0,1,0,0,0,1,1.89951,1.53286,1.12895,p
33,1,15,-12.9579,6.8534,1.29855,0,1,0,0,0,1,0.602439,0.315848,0.210006,p
34,1,3,-12.081,5.7815,0.0480731,0,1,0,1,-0,0,1.69072,1.07953,0.0980878,p
35,1,0,-12.8288,5.75111,0.748878,0,1,0,0,0,1,1.65353,0.782175,0.0885544,p
