object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
270,9,13,-4.10798,12.0057,2.77209,0,0,1,2.22045e-16,1,-0,0.436342,0.0410967,0.0259552,b
274,9,39,-1.50606,9.36938,1.62424,1,0,0,0,1,0,3.95249,2.94468,1.57931,b
275,9,13,2.20795,8.01232,1.55443,0,0,1,2.22045e-16,1,-0,1.32508,1.02269,0.229308,b
276,9,0,-1.50786,9.36304,1.70153,1,0,0,0,1,0,3.94235,2.94977,1.57202,b
277,9,1,-2.91771,12.222,1.49868,0,0,1,1,0,0,1.27862,1.01403,0.0936427,b
279,9,51,-1.63287,6.61759,0.979963,-1,2.22045e-16,0,0,0,1,0.86478,0.828926,0.191695,b
280,9,1,1.78103,7.27438,1.27668,0,0,1,-0.382683,0.92388,0,1.05747,0.415308,0.126387,b
281,9,1,-4.86651,9.87928,1.19019,0,0,1,0,1,-0,1.02104,0.751131,0.207095,b
282,9,2,-3.46003,10.4239,3.1771,1,0,0,0,1,0,1.78032,1.62918,0.0760701,b
283,9,2,-0.12763,8.95895,3.19114,1,0,0,0,1,0,2.52506,2.0584,0.0908124,b
284,9,6,-1.87892,9.04952,0.690476,0,0,1,-0.92388,0.382683,0,0.515719,0.423751,0.353336,b
286,9,25,0.971186,9.27878,1.31288,-0.382683,0.92388,0,-0.92388,-0.382683,0,1.39619,1.26627,1.11132,b
287,9,13,0.83893,10.85,1.62108,0,0,1,1,0,0,1.39484,1.00559,0.213058,b
288,9,7,1.54312,6.93999,1.40534,0,0,1,1,0,0,1.20174,0.608372,0.0745807,b
290,9,13,-2.9065,12.1052,1.73364,0,0,1,1,0,0,1.513,1.24111,0.12184,b
291,9,7,-2.15168,9.93784,1.60964,0,0,1,-0.382683,-0.92388,0,1.38912,1.23093,0.195781,b
294,9,1067,-2.47219,7.44292,1.66619,-0.707107,0.707107,0,0,0,1,2.05084,1.50974,0.815523,b
295,9,13,-0.15172,8.77899,1.38364,1,0,0,0,1,0,2.50753,2.23295,1.24017,b
296,9,1,-3.64706,9.20776,1.17668,0,0,1,0.382683,0.92388,-0,1.00885,0.402248,0.0959835,b
297,9,14,-1.9391,8.27088,0.514255,0,0,1,0,1,-0,0.342377,0.277466,0.268981,b
298,9,5,-1.68565,11.5111,1.73272,0,0,1,2.22045e-16,1,-0,0.455431,0.319093,0.0277634,b
300,9,16,-1.9604,10.8256,0.694634,0,0,1,-1,2.22045e-16,0,0.388769,0.244131,0.222756,b
301,9,5,-1.60677,6.47448,2.23184,-1,2.22045e-16,0,0,0,1,0.451856,0.392116,0.0440903,b
302,9,42,-4.11971,11.3954,2.14656,0,0,1,0,1,-0,0.221593,0.196017,0.0187078,b
303,9,37,-1.25392,10.9094,2.15674,1,0,0,-0,0,1,0.335512,0.248818,0.114703,b
304,9,11,-3.36245,10.1682,2.50635,0,0,1,1,0,0,0.226596,0.13948,0.132783,b
305,9,137,-3.9851,11.6375,0.691933,0,1,0,0,0,1,0.516273,0.484254,0.136998,b
306,9,41,-1.909,11.472,0.634674,0,1,0,0,0,1,0.528437,0.42179,0.25906,b
307,9,19,0.250911,6.9413,1.83717,0,0,1,1,0,0,0.59916,0.315309,0.0370891,b
310,9,42,-4.1199,11.7313,1.62225,0,1,0,0,0,1,0.208054,0.166872,0.0182123,b
311,9,168,-1.83475,11.8574,1.11595,0,1,0,1,-0,0,0.177155,0.165572,0.145377,b
314,9,0,1.02894,6.92556,1.89047,0,0,1,1,0,0,1.342,1.32355,0.0553334,b
