object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
27,2,2,-29.6728,2.6346,1.97672,-1,2.22045e-16,0,2.22045e-16,1,0,2.44855,1.23632,0.195383,k
28,2,82,-29.0184,1.75247,0.74618,-1,2.22045e-16,0,2.22045e-16,1,0,1.03689,0.416217,0.283839,k
29,2,0,-30.0684,1.61451,1.45906,-1,2.22045e-16,0,0,0,1,2.0551,0.607329,0.25315,k
30,2,0,-31.0438,2.64761,1.09126,0,1,0,1,-0,0,1.26783,1.13221,1.09666,k
31,2,360,-29.9255,1.8181,1.31382,0.707107,0.707107,0,-0,0,1,0.351072,0.306124,0.293167,k
32,2,7,-27.2522,2.38204,1.08076,0,0,1,2.22045e-16,1,-0,1.06486,0.6373,0.20619,k
33,2,0,-27.1383,2.69382,1.34768,0,0,1,0,1,-0,1.38638,1.19524,0.125349,k
34,2,39,-29.576,2.64938,1.39921,1,0,0,-0,0,1,2.5703,1.42285,1.27255,k
35,2,0,-28.6017,3.65216,0.503208,-1,2.22045e-16,0,0,0,1,1.57235,0.550811,0.271044,k
36,2,22,-27.8939,1.76256,1.07324,0,0,1,1,0,0,1.07883,0.649826,0.428492,k
37,2,82,-31.2178,2.59676,0.915705,0,1,0,1,-0,0,1.20424,0.906291,0.0861204,k
38,2,270,-28.7569,2.91488,1.0256,1,0,0,0,1,0,1.62132,0.985718,0.196019,k
39,2,16,-29.2612,1.46952,1.35283,0,0,1,1,0,0,0.256085,0.246073,0.0864214,k
40,2,42,-27.2593,3.38667,1.65826,0,0,1,0,1,-0,0.39122,0.339574,0.0183058,k
41,2,16,-31.0961,1.71199,1.84258,1,0,0,0,1,0,0.604618,0.312702,0.166977,k
42,2,0,-27.2908,2.57874,1.46997,0,1,0,0,0,1,1.20312,0.684916,0.0674038,k
43,2,34,-31.4205,2.74344,0.545405,-0.382683,0.92388,0,0.92388,0.382683,0,1.10576,0.693241,0.540214,k
44,2,3,-31.0778,2.94091,0.0227502,0,1,0,1,-0,0,0.974543,0.783192,0.0276065,k
