object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
84,6,43,13.2603,3.37746,2.6999,0,1,0,1,-0,0,5.228,4.3207,0.236868,S
85,6,16,13.0204,-1.73751,1.12163,-1,2.22045e-16,0,0,0,1,1.17446,1.09291,0.123165,S
86,6,0,13.3032,3.37807,1.38009,0,1,0,1,-0,0,5.27201,4.3627,1.38552,S
87,6,1,10.8197,8.08761,1.09646,0,0,1,-1,2.22045e-16,0,1.09296,0.66134,0.0989454,S
88,6,65,10.8251,-0.711284,0.651871,-1,2.22045e-16,0,2.22045e-16,1,0,1.5105,0.992008,0.650362,S
89,6,15,9.61196,0.555123,1.19485,0,0,1,1,0,0,1.1792,0.437255,0.320009,S
90,6,15,13.6203,7.42536,0.677431,0,0,1,0.382683,0.92388,-0,0.652267,0.424344,0.253864,S
91,6,39,13.317,3.39608,1.36347,0,1,0,1,-0,0,5.2312,4.34441,1.45233,S
92,6,3,13.2714,3.35651,0.0124288,0,1,0,1,-0,0,5.24796,4.32168,0.107836,S
93,6,16,12.895,8.55903,1.54168,1,0,0,-0,0,1,0.319267,0.307864,0.0157766,S
94,6,25,10.0221,3.68384,0.310803,0,1,0,1,-0,0,1.55565,0.981105,0.32557,S
95,6,75,14.7521,7.56215,0.449723,0,0,1,-0.382683,0.92388,0,0.422886,0.332187,0.320591,S
172,6,7,9.1601,2.1758,0.894526,0,0,1,1,0,0,0.585058,0.0458617,0.0285268,S
