object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
352,18,9,-5.99764,8.38277,1.06427,2.22045e-16,1,0,-1,2.22045e-16,0,1.52459,0.562486,0.339787,n
353,18,2,-4.75115,7.73377,3.06648,0,1,0,1,-0,0,2.16184,1.79635,0.663917,n
354,18,39,-4.78108,7.63583,1.88371,0,1,0,0,0,1,2.43443,1.8434,1.82797,n
355,18,1,-3.09737,5.95551,1.31501,0,0,1,0,1,-0,1.27189,0.496901,0.144319,n
356,18,0,-6.42591,5.43492,1.91697,0,0,1,-0.382683,-0.92388,0,0.989676,0.232314,0.193045,n
357,18,23,-4.99633,8.3439,0.46009,0.707107,0.707107,0,-0.707107,0.707107,0,2.1883,0.946032,0.416167,n
358,18,0,-4.74266,7.77239,1.80291,0,1,0,1,-0,0,2.14136,1.79633,1.74822,n
359,18,5,-4.70304,9.95202,1.80506,1,0,0,-0,0,1,0.847509,0.829467,0.143702,n
360,18,0,-6.46171,7.74373,1.49259,2.22045e-16,1,0,-0,0,1,2.15188,1.43596,0.283418,n
361,18,76,-3.23641,7.85865,0.537793,0,1,0,0,0,1,0.95779,0.490127,0.279813,n
362,18,8,-5.5459,7.42853,1.89276,0,0,1,1,0,0,1.08407,0.925353,0.129366,n
364,18,9,-4.509,9.51125,1.08811,1,0,0,0,1,0,0.959072,0.543159,0.363551,n
365,18,4,-6.52816,8.2056,1.67396,2.22045e-16,1,0,-0,0,1,0.268079,0.264274,0.0075233,n
366,18,1,-4.52703,6.34163,1.57436,0,0,1,1,0,0,0.98113,0.453024,0.0804932,n
367,18,3,-4.75657,7.14463,0.0656123,-1,2.22045e-16,0,2.22045e-16,1,0,1.76982,1.71107,0.031099,n
368,18,4,-6.52756,7.51186,2.30707,2.22045e-16,1,0,-0,0,1,0.270595,0.259699,0.00823236,n
369,18,7,-6.54421,9.24197,1.93239,0,0,1,0,1,-0,0.806235,0.553046,0.0614448,n
370,18,1,-5.61632,5.62346,1.26366,0,0,1,1,0,0,1.22112,0.782479,0.0400727,n
371,18,0,-4.7016,5.60455,1.79218,0,0,1,1,0,0,1.74957,1.63891,0.0422721,n
372,18,7,-3.53985,5.56194,1.39924,0,0,1,1,0,0,1.3598,0.574641,0.110159,n
373,18,19,-3.02378,7.6529,1.52547,2.22045e-16,1,0,-0,0,1,0.766346,0.53821,0.0658935,n
374,18,0,-5.37515,5.44425,2.76085,-1,2.22045e-16,0,2.22045e-16,1,0,1.17591,0.234322,0.215787,n
375,18,0,-4.57286,6.16697,1.72837,0,0,1,0,1,-0,1.13895,0.480184,0.407868,n
376,18,7,-5.61521,5.61892,1.41365,0,0,1,1,0,0,1.36157,0.931777,0.0488906,n
377,18,76,-3.21548,6.91938,0.481718,0,0,1,-1,2.22045e-16,0,0.439216,0.255353,0.0281916,n
378,18,4,-6.53598,7.53836,1.67338,2.22045e-16,1,0,-0,0,1,0.320716,0.311875,0.0138931,n
380,18,68,-6.12154,9.35224,1.54389,0,0,1,0.707107,0.707107,-0,0.35129,0.209491,0.131713,n
381,18,66,-4.86579,7.82818,3.02355,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.639746,0.568542,0.359611,n
382,18,1,-6.53953,9.28246,1.6835,0,0,1,2.22045e-16,1,-0,0.613416,0.412846,0.0757084,n
383,18,4,-6.53651,8.20956,2.3514,0,1,0,0,0,1,0.319138,0.308725,0.0161586,n
384,18,4,-3.19028,8.06747,1.05522,0,0,1,-0.707107,0.707107,0,0.130858,0.122787,0.0517889,n
385,18,9,-6.17493,7.10108,0.896399,-0.382683,0.92388,0,0,0,1,0.113441,0.0696492,0.0193419,n
386,18,80,-4.55529,7.76653,0.300481,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.549032,0.543175,0.245239,n
