object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
35,14,-1,11.0498,-0.4542,1.19559,1,0,0,-0,0,1,12.7766,4.5031,3.38025,k
227,14,39,9.11284,-0.296115,1.1195,-0.92388,0.382683,0,0.382683,0.92388,0,4.64506,2.46483,1.68615,k
229,14,0,10.5402,-0.854295,1.00252,-0.707107,0.707107,0,0.707107,0.707107,0,3.39623,2.35928,1.54415,k
230,14,622,12.7217,-2.4928,1.61824,-0.382683,-0.92388,0,0,0,1,0.650116,0.303912,0.301375,k
231,14,65,11.3967,-3.06154,0.538244,1,0,0,0,1,0,1.1487,0.357857,0.116246,k
232,14,0,6.65021,0.762728,1.03982,0,1,0,0,0,1,2.20296,1.40318,1.28614,k
233,14,14,10.6078,-0.930144,0.143713,-0.92388,0.382683,0,-0.382683,-0.92388,0,1.14163,0.555317,0.499674,k
235,14,38,13.0527,-1.27688,0.687346,0,0,1,0,1,-0,1.22892,0.608755,0.602526,k
236,14,14,8.26418,0.504758,0.368721,0,1,0,0,0,1,1.11192,0.732044,0.550413,k
237,14,114,12.6887,-2.42682,0.427066,0,0,1,-0.382683,-0.92388,0,0.772465,0.701245,0.444048,k
238,14,544,9.63133,1.15803,0.761594,1,0,0,0,1,0,0.406166,0.220169,0.196358,k
239,14,65,9.84616,0.993705,0.520798,-1,2.22045e-16,0,2.22045e-16,1,0,0.638844,0.354726,0.0805161,k
240,14,5,11.3048,-3.53365,1.24433,0,0,1,-1,2.22045e-16,0,0.515015,0.508749,0.103544,k
241,14,1147,10.7442,0.346498,0.615061,0,0,1,-0.92388,0.382683,0,0.953507,0.486186,0.143013,k
242,14,40,12.9105,-2.50516,1.18629,0.707107,0.707107,0,-0.707107,0.707107,0,0.805955,0.347115,0.325034,k
243,14,12,10.9104,0.617072,0.853211,-0.92388,0.382683,0,0,0,1,1.72594,1.05556,0.448409,k
244,14,192,12.4687,-3.1143,0.787665,1,0,0,-0,0,1,0.23739,0.170297,0.0877047,k
245,14,544,11.9548,0.154462,0.779638,-0.707107,0.707107,0,0.707107,0.707107,0,0.615774,0.249394,0.214401,k
246,14,408,10.4349,-3.10394,0.752243,0,0,1,-0.92388,0.382683,0,0.134578,0.13146,0.0918189,k
247,14,3,10.4468,-2.88088,2.39163,0,1,0,1,-0,0,0.524172,0.521327,0.37166,k
248,14,21,11.5001,-3.14111,0.509759,2.22045e-16,1,0,-1,2.22045e-16,0,0.241075,0.17068,0.0917848,k
249,14,65,11.8184,0.0436483,0.520606,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.609743,0.266818,0.0803319,k
250,14,12,11.1817,-2.82871,0.136957,-1,2.22045e-16,0,0,0,1,0.953183,0.464256,0.0779805,k
251,14,408,11.9411,-3.29321,0.707417,0,1,0,0,0,1,0.143262,0.115059,0.10452,k
252,14,3,9.29532,-0.320397,-0.317229,-0.92388,0.382683,0,0.382683,0.92388,0,4.32261,2.06385,0.135045,k
260,14,0,13.0154,-1.17636,0.930407,0,1,0,0,0,1,2.02344,1.49499,0.8004,k
302,14,2,11.4559,0.535337,-0.992725,2.22045e-16,1,0,-1,2.22045e-16,0,1.01948,0.921239,0.0751789,k
341,14,2,11.05,-2.29219,-0.995166,1,0,0,0,1,0,0.289984,0.284664,0.0185578,k
350,14,2,11.3132,-1.5628,-0.980856,1,0,0,0,1,0,1.07802,0.923833,0.0297943,k
352,14,2,10.3343,-0.830235,-0.97691,0.707107,0.707107,0,-0.707107,0.707107,0,0.142844,0.0949745,0.0265529,k
