object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,3,15.6489,0.0821892,-3.05403,-1,2.22045e-16,0,2.22045e-16,1,0,5.31903,3.46412,0.244455,l
1,0,2,15.4739,0.0101317,-0.313949,-1,2.22045e-16,0,2.22045e-16,1,0,5.15021,3.6141,0.195325,l
2,0,28,15.5315,-0.277371,-2.74961,0,1,0,1,-0,0,2.28806,0.964162,0.504353,l
3,0,0,15.4365,-3.2567,-1.77538,1,0,0,-0,0,1,5.14083,1.46608,0.318631,l
4,0,51,20.3644,-0.0468402,-2.51336,0,1,0,0,0,1,1.45314,0.731479,0.299232,l
5,0,28,18.1032,2.69833,-2.76323,-1,2.22045e-16,0,2.22045e-16,1,0,1.16079,0.646795,0.488405,l
6,0,48,12.9747,2.97984,-2.59403,-1,2.22045e-16,0,0,0,1,1.57658,0.660368,0.302971,l
7,0,39,15.5138,0.0872681,-1.74586,-1,2.22045e-16,0,2.22045e-16,1,0,5.20278,3.53919,1.53086,l
8,0,0,15.4726,3.28749,-1.70586,1,0,0,-0,0,1,4.99355,1.52535,0.269572,l
9,0,23,11.3262,2.94486,-2.70471,1,0,0,0,1,0,0.951134,0.600854,0.549124,l
10,0,1,20.6467,2.13146,-2.00409,0,0,1,2.22045e-16,1,-0,1.23454,0.585027,0.0256033,l
11,0,0,20.4343,0.150467,-1.7701,0,1,0,0,0,1,3.28408,1.47517,0.353277,l
12,0,1,20.7764,-2.17765,-1.91617,0,0,1,2.22045e-16,1,-0,1.32549,0.620279,0.196372,l
13,0,48,12.9396,-3.15988,-2.47259,-1,2.22045e-16,0,0,0,1,1.54155,0.433785,0.338483,l
15,0,1,19.8429,-2.56365,-2.30893,0,0,1,-0.707107,-0.707107,0,0.911585,0.38434,0.118969,l
16,0,216,10.6273,-3.04839,-2.5293,0,0,1,0,1,-0,0.747422,0.380174,0.303638,l
17,0,6,13.3374,0.506581,-2.79306,0,0,1,0.92388,0.382683,-0,0.466028,0.403603,0.350633,l
18,0,28,18.0378,-2.87413,-2.73808,-1,2.22045e-16,0,2.22045e-16,1,0,1.15803,0.582922,0.508706,l
19,0,91,16.5249,3.51967,-1.17752,-1,2.22045e-16,0,0,0,1,1.55324,0.25984,0.109371,l
21,0,31,10.4722,-2.8509,-0.339579,2.22045e-16,1,0,-1,2.22045e-16,0,0.554303,0.17841,0.166319,l
22,0,6,13.4372,-1.18113,-2.66751,0,0,1,-1,2.22045e-16,0,0.328938,0.323737,0.308848,l
24,0,46,18.1533,-0.104593,-2.92374,0,1,0,1,-0,0,0.790506,0.454014,0.300997,l
25,0,14,13.2814,-0.295881,-2.95045,0,1,0,0,0,1,0.424622,0.246178,0.242309,l
57,0,65,18.2792,0.0466957,0.591838,0,1,0,1,-0,0,1.53488,0.706323,0.608538,l
58,0,28,11.313,-1.29938,0.593613,0,0,1,1,0,0,0.587659,0.430509,0.389023,l
62,0,12,13.8774,-3.11432,0.415348,-1,2.22045e-16,0,0,0,1,0.934777,0.423902,0.398603,l
63,0,96,15.1381,-0.223227,0.45506,-1,2.22045e-16,0,2.22045e-16,1,0,0.966804,0.578079,0.360663,l
67,0,9,13.1011,-3.14097,0.520987,-0.92388,-0.382683,0,0,0,1,0.302699,0.181865,0.118278,l
69,0,6,15.0066,-3.36369,0.484953,0.382683,0.92388,0,-0,0,1,0.411423,0.362575,0.226463,l
71,0,6,14.676,3.28391,0.566453,0,0,1,-0.707107,0.707107,0,0.52286,0.412065,0.292024,l
74,0,24,15.1197,-0.124148,0.339938,1,0,0,0,1,0,1.19952,0.613801,0.329583,l
78,0,24,15.3682,-0.497139,0.262927,-1,2.22045e-16,0,2.22045e-16,1,0,0.48541,0.419544,0.24819,l
79,0,3,15.5824,0.0687733,0.11201,1,0,0,0,1,0,5.15412,4.05828,0.295312,l
80,0,24,14.5502,-0.811001,0.303355,1,0,0,0,1,0,0.243633,0.20945,0.191563,l
229,0,31,11.2888,2.42964,0.434451,0,1,0,1,-0,0,1.10535,0.811862,0.629491,l
233,0,3,13.7488,1.85759,0.00574747,-1,2.22045e-16,0,2.22045e-16,1,0,0.653191,0.56157,0.033315,l
