object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
390,21,2,8.05746,0.159448,5.56799,1,0,0,0,1,0,4.41199,2.96153,0.0672259,k
391,21,0,8.45627,0.242455,4.2662,1,0,0,0,1,0,4.02825,2.91695,1.3458,k
393,21,12,10.2285,2.8586,4.26458,0,0,1,-1,2.22045e-16,0,1.34267,0.735096,0.074456,k
394,21,6,7.91927,0.874921,3.65086,-0.707107,0.707107,0,0.707107,0.707107,0,0.31365,0.205821,0.180892,k
395,21,34,8.68652,-2.17179,3.5824,1,0,0,-0,0,1,3.65237,0.657181,0.392481,k
397,21,22,11.1366,-2.34693,4.89841,1,0,0,-0,0,1,1.07363,0.639997,0.17482,k
398,21,39,8.13133,0.155692,4.16954,1,0,0,0,1,0,4.33208,2.96474,1.4446,k
399,21,6,8.48512,0.997738,3.65812,0.92388,0.382683,0,-0,0,1,0.292381,0.185915,0.14918,k
400,21,6,9.86574,0.863554,3.63057,-0.92388,0.382683,0,0.382683,0.92388,0,0.305757,0.269218,0.193439,k
401,21,12,8.33564,-2.3321,4.94571,1,0,0,-0,0,1,0.764396,0.668602,0.195737,k
402,21,6,9.23108,0.869742,3.64844,1,0,0,0,1,0,0.301905,0.252837,0.18062,k
403,21,1,11.6968,2.89158,4.13308,0,0,1,1,0,0,1.21709,0.415001,0.0535011,k
404,21,6,7.09921,-1.73268,3.66748,1,0,0,-0,0,1,0.265371,0.13619,0.0786468,k
405,21,6,5.58089,-1.90579,3.65579,0.382683,0.92388,0,-0.92388,0.382683,0,0.252826,0.244199,0.169575,k
406,21,6,6.40857,-1.89374,3.6605,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.259032,0.229509,0.155038,k
407,21,3,8.06474,0.306147,2.91163,1,0,0,0,1,0,4.40471,2.8175,0.142067,k
