object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
152,9,0,4.01028,16.7874,1.39382,2.22045e-16,1,0,-1,2.22045e-16,0,3.54253,2.91325,1.7045,l
153,9,569,1.40455,16.72,1.41237,2.22045e-16,1,0,-0,0,1,3.30873,1.67844,0.333044,l
154,9,23,3.50046,18.3726,0.100183,1,0,0,0,1,0,0.8382,0.43819,0.385233,l
155,9,37,6.67113,16.6276,0.971928,0,1,0,0,0,1,0.710163,0.438135,0.205109,l
156,9,23,3.55038,15.168,0.119049,1,0,0,0,1,0,0.846256,0.496388,0.401416,l
157,9,3,4.00307,16.8554,0.152593,0,1,0,1,-0,0,3.48333,2.85783,0.487332,l
158,9,287,3.56666,16.776,-0.0337926,0,1,0,1,-0,0,0.798678,0.549838,0.242628,l
159,9,62,1.13708,16.5103,1.52646,2.22045e-16,1,0,-0,0,1,1.0381,0.811066,0.0655773,l
160,9,39,3.98221,17.0892,1.37372,0,1,0,1,-0,0,3.25456,2.91781,1.70845,l
161,9,5,3.99105,20.016,2.61509,-1,2.22045e-16,0,0,0,1,2.88441,0.447271,0.259611,l
162,9,6,6.46135,14.2475,0.0848727,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.495772,0.390311,0.363889,l
163,9,214,1.59016,14.6603,0.0502293,0,1,0,1,-0,0,0.499185,0.422797,0.302972,l
164,9,18,1.59656,14.7278,1.0055,0,0,1,-0.382683,-0.92388,0,0.723291,0.375341,0.268249,l
165,9,214,1.52845,18.6231,0.0814256,2.22045e-16,1,0,-1,2.22045e-16,0,0.495749,0.417506,0.354573,l
166,9,102,3.07771,18.3615,0.11859,1,0,0,0,1,0,0.433195,0.427085,0.390783,l
167,9,23,1.64239,16.4763,0.16321,0,1,0,1,-0,0,1.55529,0.536671,0.4412,l
168,9,18,1.44228,18.5894,0.989076,0,0,1,0,1,-0,0.741718,0.418157,0.353715,l
169,9,6,6.22219,19.1397,0.0859965,-0.382683,0.92388,0,0,0,1,0.411545,0.352066,0.347813,l
170,9,12,6.49732,16.6525,0.226146,2.22045e-16,1,0,-0,0,1,1.36333,0.507683,0.360417,l
171,9,102,3.09127,15.1905,0.130178,0,1,0,1,-0,0,0.5052,0.465114,0.40803,l
172,9,66,3.99687,16.7337,2.77669,1,0,0,0,1,0,0.569384,0.516149,0.0681391,l
173,9,18,6.47618,17.4182,0.99474,0,0,1,-0.382683,0.92388,0,0.445415,0.29041,0.257779,l
174,9,3,6.20322,17.2774,0.31024,0,1,0,1,-0,0,2.79428,0.641785,0.616583,l
175,9,18,6.57546,15.6323,1.0007,0,0,1,1,0,0,0.451903,0.286822,0.285731,l
