object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
629,33,2,-15.1395,18.7392,6.39142,0,1,0,1,-0,0,3.09291,2.55003,0.659939,a
630,33,5,-16.7815,18.0671,5.12588,0,0,1,0,1,-0,1.48917,1.15227,1.09154,a
631,33,0,-14.1234,19.1863,5.22179,0,1,0,1,-0,0,2.2568,2.01367,1.54505,a
633,33,45,-16.8775,19.4085,5.13413,0,1,0,0,0,1,2.47128,1.65926,0.977808,a
634,33,0,-12.5999,16.3469,5.14702,0,0,1,0,1,-0,1.51724,0.718638,0.565518,a
636,33,0,-15.2658,16.1471,5.17562,-0.92388,0.382683,0,0,0,1,2.39977,1.55077,0.648679,a
637,33,19,-12.1316,17.6064,5.61418,0,0,1,2.22045e-16,1,-0,0.830894,0.64765,0.0499344,a
638,33,4,-16.8197,16.9427,5.2852,0,0,1,1,0,0,0.517241,0.455098,0.0195093,a
640,33,1,-16.2951,15.8929,4.86525,0,0,1,1,0,0,1.24274,0.471138,0.0512352,a
641,33,6,-12.9275,19.0273,4.19516,0,0,1,0.382683,0.92388,-0,0.474659,0.405527,0.398202,a
642,33,1,-12.5995,15.7908,4.87566,0,0,1,1,0,0,1.24962,0.462779,0.116626,a
643,33,1,-14.8874,21.5015,5.36545,0,0,1,-1,2.22045e-16,0,1.04458,0.735589,0.0293779,a
644,33,130,-12.8,20.194,4.07941,0,1,0,0,0,1,0.791081,0.423353,0.0566382,a
645,33,39,-14.9831,18.7355,5.22104,2.22045e-16,1,0,-1,2.22045e-16,0,3.11823,2.8722,1.76789,a
646,33,47,-12.5111,17.7031,4.51911,0,1,0,1,-0,0,0.75852,0.365149,0.10551,a
647,33,18,-12.3767,19.236,4.89051,0,1,0,1,-0,0,0.250495,0.164577,0.157613,a
648,33,19,-12.1502,18.9489,5.52903,0,0,1,0,1,-0,0.851852,0.467838,0.0287519,a
649,33,2,-16.7812,16.2669,6.72234,-1,2.22045e-16,0,2.22045e-16,1,0,0.701874,0.52468,0.0281978,a
650,33,16,-14.9047,18.0301,4.07586,0.707107,0.707107,0,-0.707107,0.707107,0,0.148118,0.104534,0.0258071,a
652,33,130,-12.8124,17.7021,4.08151,2.22045e-16,1,0,-0,0,1,0.772879,0.449178,0.0435619,a
653,33,0,-16.749,16.2657,5.18901,0,0,1,1,0,0,1.56049,0.843608,0.556081,a
654,33,47,-12.5179,20.205,4.50557,2.22045e-16,1,0,-1,2.22045e-16,0,0.76255,0.362799,0.0853932,a
655,33,7,-14.8924,21.4644,5.39222,0,0,1,-1,2.22045e-16,0,1.08762,0.878532,0.0653763,a
656,33,14,-12.4581,18.9588,4.41173,0,1,0,1,-0,0,0.506272,0.314633,0.0350428,a
657,33,19,-12.1458,20.2415,5.54484,0,0,1,2.22045e-16,1,-0,0.804903,0.578666,0.0296764,a
658,33,22,-17.3415,21.3854,4.07673,1,0,0,0,1,0,0.361213,0.279568,0.161921,a
660,33,21,-12.5235,20.2746,4.48613,-0.707107,0.707107,0,0.707107,0.707107,0,0.220941,0.175029,0.081594,a
661,33,5,-17.5538,16.2915,5.81659,0,1,0,0,0,1,0.324102,0.308518,0.0781422,a
662,33,85,-13.3213,20.9604,5.33496,0,0,1,1,0,0,0.706723,0.304726,0.0257807,a
663,33,16,-14.9509,18.5759,4.15764,0,0,1,0,1,-0,0.0759268,0.0564928,0.0506234,a
664,33,21,-12.4896,17.672,4.46625,0,1,0,1,-0,0,0.236221,0.142817,0.0804784,a
665,33,16,-14.7835,18.716,4.15427,0,0,1,0.707107,0.707107,-0,0.103553,0.0927966,0.0888789,a
666,33,16,-12.2834,18.8092,4.52756,0,0,1,0,1,-0,0.135126,0.132664,0.125874,a
667,33,16,-12.5105,19.0288,4.44704,0,0,1,0,1,-0,0.056567,0.0532608,0.0519862,a
668,33,16,-14.762,18.5576,4.1188,0,1,0,0,0,1,0.0641031,0.0499074,0.0498729,a
