object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
500,26,2,-10.3669,24.421,2.50578,0,1,0,1,-0,0,3.89425,2.49129,0.207802,z
501,26,0,-10.6312,24.3716,1.25201,0,1,0,1,-0,0,3.92309,2.78712,1.27076,z
502,26,3,-10.5664,24.2601,0.142881,0,1,0,1,-0,0,3.89134,2.68973,0.165915,z
503,26,19,-8.34391,26.7159,1.63243,-0.382683,0.92388,0,0,0,1,0.773666,0.406923,0.141443,z
504,26,291,-8.18493,24.9453,1.20058,0,0,1,0,1,-0,1.20171,0.51118,0.308306,z
505,26,39,-10.4319,24.2387,1.2994,0,1,0,1,-0,0,3.88495,2.8155,1.31903,z
506,26,18,-8.02509,22.7148,1.83271,0,0,1,0,1,-0,0.129034,0.112528,0.0674028,z
507,26,47,-8.59045,26.7715,0.62482,-0.382683,0.92388,0,0,0,1,0.61785,0.59278,0.326453,z
508,26,291,-12.7084,24.3927,1.13839,0,1,0,0,0,1,1.40973,1.125,0.403936,z
509,26,387,-8.35479,25.7473,0.438459,0,0,1,-0.382683,0.92388,0,0.441154,0.435252,0.292803,z
510,26,291,-11.4312,26.3059,1.13043,0,0,1,1,0,0,1.11612,0.769729,0.214857,z
511,26,7,-8.74809,20.637,1.16501,0,0,1,-0.92388,0.382683,0,1.16757,0.572405,0.417319,z
512,26,12,-8.589,26.7516,0.5256,-0.382683,0.92388,0,0,0,1,0.645733,0.52829,0.34953,z
513,26,280,-8.12419,22.4558,0.67186,0,0,1,-0.382683,0.92388,0,0.689275,0.270131,0.178133,z
514,26,8,-11.1967,26.3184,1.62034,0.92388,0.382683,0,-0,0,1,1.43696,0.672704,0.386093,z
515,26,1,-9.16511,20.9258,1.09582,0,0,1,-0.382683,0.92388,0,1.11567,0.432021,0.11685,z
516,26,291,-10.9032,23.2289,1.12955,0,0,1,-0.92388,-0.382683,0,1.11659,0.669957,0.15913,z
517,26,19,-8.23427,23.8971,1.2861,0,0,1,-0.382683,0.92388,0,0.717846,0.402329,0.0758569,z
518,26,50,-8.17916,22.9965,0.283666,0,0,1,1,0,0,0.301901,0.195356,0.194053,z
519,26,48,-11.5108,24.7983,0.275129,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.744672,0.656856,0.278235,z
