object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
1031,36,2,9.90887,-5.53883,2.9674,0,1,0,1,-0,0,4.48375,1.37097,0.155842,p
1032,36,5,8.31647,-3.47024,1.51315,0,0,1,0,1,-0,0.824767,0.376987,0.0851507,p
1033,36,39,9.98814,-5.39125,1.61403,2.22045e-16,1,0,-1,2.22045e-16,0,4.67283,1.95734,1.63786,p
1034,36,8,10.2255,-3.95533,1.5412,0,0,1,0,1,-0,1.47699,0.775503,0.439384,p
1035,36,0,11.8186,-5.47235,1.9893,0,1,0,0,0,1,4.57816,1.26098,0.112753,p
1036,36,3,10.1138,-5.39086,0.233405,0,1,0,1,-0,0,4.67161,1.85163,0.27578,p
1037,36,0,8.49186,-5.3799,1.53554,0,1,0,0,0,1,4.64279,1.54672,0.143043,p
1038,36,8,10.1783,-9.47437,1.49875,0,0,1,1,0,0,1.499,1.16817,0.579659,p
1039,36,69,8.16336,-8.6657,1.43973,0,0,1,2.22045e-16,1,-0,1.3869,1.20748,0.133814,p
1040,36,1,8.72637,-6.96434,1.2376,0,0,1,-1,2.22045e-16,0,1.18821,0.375248,0.122982,p
1041,36,69,9.11523,-3.03337,1.5148,0,1,0,0,0,1,2.10311,1.4902,1.08343,p
1042,36,5,8.27191,-1.73497,1.36732,0,0,1,0,1,-0,0.698903,0.300183,0.0592017,p
1043,36,0,9.92751,-5.42263,1.86001,0,1,0,1,-0,0,4.59442,1.45886,1.22661,p
1044,36,5,8.44333,-8.82398,1.44694,-0.382683,0.92388,0,0,0,1,1.49986,1.37816,0.568444,p
1045,36,69,8.21303,-6.21557,1.45162,0,0,1,0,1,-0,1.39446,0.885671,0.180417,p
1046,36,29,11.5998,-4.69093,0.989243,0,0,1,1,0,0,0.999912,0.305819,0.299654,p
1047,36,29,11.601,-1.00615,1.05428,0,0,1,-1,2.22045e-16,0,1.09182,0.334483,0.169203,p
1048,36,5,8.28086,-4.17163,1.545,0,0,1,2.22045e-16,1,-0,0.882779,0.399489,0.119099,p
1049,36,5,8.45071,-3.02551,1.44715,2.22045e-16,1,0,-0,0,1,2.18457,1.03847,0.259465,p
1050,36,29,11.586,-7.61047,1.06867,0,0,1,0,1,-0,1.08048,0.323702,0.31952,p
1051,36,110,9.55278,-8.04775,1.87652,-0.382683,-0.92388,0,0,0,1,1.26727,1.06832,0.831245,p
1052,36,0,9.90384,-9.96004,1.54718,0,0,1,1,0,0,1.53773,1.34461,0.0932655,p
1053,36,8,10.151,-1.47001,1.44988,0,0,1,-0.382683,0.92388,0,1.32827,0.641007,0.223175,p
1054,36,1,8.71582,-5.55407,1.44738,0,0,1,-0.92388,0.382683,0,1.43605,0.334186,0.31334,p
1055,36,0,11.5258,-2.74395,2.38711,0,1,0,0,0,1,1.70732,0.34696,0.315749,p
1056,36,0,11.5586,-8.79746,2.44284,0,1,0,0,0,1,0.971483,0.307269,0.289258,p
1057,36,5,10.0774,-2.4995,1.01772,-1,2.22045e-16,0,0,0,1,1.83215,1.04851,0.349311,p
1058,36,8,11.6442,-7.73996,1.13765,0,0,1,0.92388,0.382683,-0,0.788794,0.186829,0.074574,p
1059,36,8,11.6688,-4.87163,1.04782,0,0,1,0.92388,0.382683,-0,0.818715,0.153522,0.0560548,p
1060,36,8,10.0906,-2.91531,1.81082,0,0,1,0.382683,0.92388,-0,0.952724,0.261468,0.0774649,p
1061,36,8,8.41962,-3.50281,1.55693,0,0,1,2.22045e-16,1,-0,0.868731,0.374536,0.0884647,p
1062,36,0,11.5573,-6.0786,2.36341,2.22045e-16,1,0,-0,0,1,1.2881,0.377087,0.288571,p
1063,36,6,9.04628,-7.72489,0.464864,-0.707107,0.707107,0,0,0,1,0.730708,0.461449,0.435953,p
1064,36,29,11.5269,-9.81171,1.24635,0,0,1,1,0,0,1.23921,0.418843,0.208664,p
1065,36,8,11.6866,-0.976894,0.997915,0,0,1,0.92388,0.382683,-0,0.409372,0.111839,0.0417074,p
1066,36,6,10.9115,-8.11352,0.449714,0,0,1,1,0,0,0.458414,0.362514,0.34745,p
1067,36,8,9.2751,-5.01295,2.6686,-0.92388,-0.382683,0,-0.382683,0.92388,0,0.404536,0.21943,0.216343,p
1068,36,6,8.99797,-5.06796,0.463235,0,0,1,1,0,0,0.453908,0.431464,0.345084,p
1069,36,8,8.42263,-8.51795,1.66015,0,0,1,2.22045e-16,1,-0,0.652696,0.378889,0.109742,p
1070,36,8,8.4092,-2.88784,1.53645,2.22045e-16,1,0,-0,0,1,1.62939,0.809332,0.118087,p
1071,36,6,10.1381,-9.64579,0.552651,1,0,0,0,1,0,0.374868,0.364101,0.343514,p
1072,36,8,8.73646,-7.70897,0.409151,0,1,0,0,0,1,0.382205,0.359811,0.193755,p
1073,36,8,10.4286,-9.29818,0.179365,0.382683,0.92388,0,-0.92388,0.382683,0,0.349598,0.125508,0.110007,p
1074,36,8,10.2759,-8.00613,0.496204,0,1,0,0,0,1,0.379604,0.28749,0.0521107,p
1137,36,0,8.12284,-3.02823,1.38523,0,1,0,0,0,1,2.01076,1.36012,0.161679,p
1138,36,5,8.22048,-1.9823,1.37884,0,0,1,2.22045e-16,1,-0,0.734249,0.733651,0.0604258,p
1147,36,5,8.21698,-3.82395,1.47743,0,0,1,2.22045e-16,1,-0,0.853269,0.743954,0.0731039,p
1150,36,5,8.29235,-8.49595,1.46264,0,0,1,2.22045e-16,1,-0,0.766615,0.338466,0.0121841,p
1152,36,5,8.27851,-9.21996,1.44368,0,0,1,2.22045e-16,1,-0,0.780044,0.328221,0.0272541,p
1161,36,5,8.2618,-2.33481,1.37948,0,0,1,2.22045e-16,1,-0,0.694104,0.316363,0.0191011,p
