object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
90,18,17,-11.2185,9.41253,1.45668,0,0,1,2.22045e-16,1,-0,1.46918,0.785754,0.0249877,h
475,18,0,-10.0041,9.43393,1.50592,0,0,1,2.22045e-16,1,-0,1.5325,0.920521,0.871505,h
476,18,0,-7.9236,9.43775,1.50599,0,0,1,2.22045e-16,1,-0,1.53307,0.922275,0.870101,h
478,18,0,-11.1819,9.53264,1.54027,0,0,1,0,1,-0,1.55698,1.00632,0.12628,h
479,18,7,-6.91247,9.42574,1.50654,0,0,1,2.22045e-16,1,-0,1.53236,0.90748,0.225264,h
480,18,109,-8.96533,9.43708,1.49832,0,0,1,2.22045e-16,1,-0,1.5244,0.920107,0.222201,h
481,18,0,-6.6873,9.55234,1.51515,0,0,1,0,1,-0,1.53336,1.00013,0.0681601,h
482,18,3,-8.96277,9.50874,-0.000641346,1,0,0,0,1,0,2.34621,0.963503,0.0355183,h
483,18,109,-11.028,9.44554,1.49638,0,0,1,0,1,-0,1.51924,0.908237,0.2094,h
484,18,11,-7.94433,8.6438,1.74091,0,0,1,0.707107,0.707107,-0,0.467765,0.100895,0.0763635,h
485,18,39,-9.09721,9.58868,1.50097,1,0,0,0,1,0,1.21582,1.04059,0.699005,h
486,18,11,-10.01,8.62872,1.78194,0,0,1,1,0,0,0.519685,0.107935,0.106834,h
487,18,0,-10.035,8.56197,2.21102,-0.92388,0.382683,0,0,0,1,0.0973988,0.0906097,0.0411417,h
977,18,54,-7.98205,9.4472,3.68821,0,1,0,1,-0,0,0.884851,0.604384,0.284387,h
988,18,12,-9.83338,8.90654,3.95061,1,0,0,-0,0,1,0.48433,0.454573,0.332371,h
990,18,27,-8.89696,8.94576,3.89022,0,0,1,0,1,-0,0.404587,0.399748,0.288205,h
999,18,3,-9.3549,9.47194,3.51882,2.22045e-16,1,0,-1,2.22045e-16,0,0.898235,0.864653,0.0492685,h
