object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
57,3,3,-3.38824,-3.5617,0.0117335,1,0,0,0,1,0,1.86698,1.79186,0.0597841,S
58,3,2,-3.63465,-3.57842,2.32002,0,1,0,1,-0,0,2.26669,2.08164,0.0519956,S
59,3,0,-1.9014,-1.66558,1.38581,0,0,1,-0.707107,0.707107,0,0.924185,0.500847,0.0313267,S
60,3,706,-3.70095,-3.58698,2.62213,1,0,0,0,1,0,1.31503,1.31266,0.282518,S
61,3,0,-3.63714,-1.31981,1.38055,-1,2.22045e-16,0,0,0,1,1.39319,0.919362,0.0347617,S
62,3,0,-5.71616,-3.57569,1.37693,0,1,0,0,0,1,1.57832,0.921101,0.0292082,S
63,3,14,-3.70069,-3.56169,0.303945,2.22045e-16,1,0,-1,2.22045e-16,0,1.11149,0.794356,0.349639,S
64,3,0,-5.37369,-5.46627,1.37787,0,0,1,-0.707107,0.707107,0,0.922967,0.505893,0.0713678,S
65,3,48,-3.64209,-3.57181,0.28009,2.22045e-16,1,0,-1,2.22045e-16,0,2.2844,2.10054,0.3134,S
66,3,21,-2.30576,-5.33957,0.672066,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.313851,0.259755,0.213053,S
67,3,0,-1.66897,-3.59141,1.3756,2.22045e-16,1,0,-0,0,1,1.59166,0.914651,0.133008,S
68,3,21,-2.06205,-1.85607,0.746093,-0.707107,0.707107,0,0,0,1,0.320381,0.290756,0.279486,S
69,3,0,-3.77939,-5.84443,1.36426,1,0,0,-0,0,1,1.27797,0.909581,0.0190639,S
70,3,20,-3.29294,-3.58029,0.642229,2.22045e-16,1,0,-1,2.22045e-16,0,0.856978,0.341283,0.0320434,S
71,3,0,-2.16372,-5.48513,1.38345,0,0,1,-0.707107,-0.707107,0,0.921539,0.495854,0.0648595,S
72,3,21,-5.22681,-5.33245,0.640775,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.313114,0.261838,0.184523,S
73,3,0,-5.37127,-1.65235,1.38222,0,0,1,0.707107,0.707107,-0,0.926316,0.504581,0.0301241,S
74,3,21,-5.17144,-1.78247,0.643619,0.707107,0.707107,0,-0.707107,0.707107,0,0.319472,0.259991,0.181429,S
75,3,20,-3.72045,-4.42114,0.68177,0.92388,0.382683,0,-0.382683,0.92388,0,0.236838,0.221034,0.128438,S
76,3,20,-3.90526,-3.53889,0.644806,0,1,0,1,-0,0,0.910924,0.376606,0.0293984,S
77,3,61,-5.34889,-1.69263,0.964822,0,0,1,0.707107,0.707107,-0,0.150644,0.130337,0.0678543,S
78,3,7,-1.60805,-3.6894,1.00568,0,0,1,2.22045e-16,1,-0,1.02491,0.514418,0.145152,S
79,3,61,-2.18078,-5.47451,1.00001,0,0,1,0.707107,0.707107,-0,0.105397,0.0993166,0.071295,S
80,3,90,-2.38244,-1.37435,0.588516,-0.92388,0.382683,0,0,0,1,0.115525,0.0939335,0.0359692,S
81,3,61,-5.35618,-5.46462,0.988904,0,0,1,-0.707107,0.707107,0,0.134461,0.105707,0.0682681,S
82,3,10,-3.59259,-4.22388,0.717651,0,0,1,1,0,0,0.085581,0.0767639,0.0665395,S
83,3,10,-2.2784,-1.66459,0.538231,0,1,0,1,-0,0,0.125338,0.0811924,0.0753776,S
84,3,11,-3.29835,-4.55352,0.672123,0,0,1,0.92388,0.382683,-0,0.038575,0.0219797,0.0209592,S
85,3,11,-4.37196,-3.67691,0.66249,0,0,1,0,1,-0,0.0490787,0.0301241,0.0250485,S
86,3,11,-3.31636,-2.56939,0.663028,0,0,1,0.707107,0.707107,-0,0.0483925,0.0248423,0.022479,S
87,3,39,-3.07132,-2.21232,0.422215,-0.92388,-0.382683,0,0,0,1,1.38445,0.442289,0.136853,S
