object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
514,16,0,-0.270058,12.4345,2.33381,-1,2.22045e-16,0,0,0,1,0.422634,0.200829,0.0396533,o
577,16,1,-0.127556,15.9106,1.00347,0,0,1,1,0,0,1.01576,0.560437,0.0339546,o
578,16,4,2.07916,14.8847,0.81757,-0.707107,0.707107,0,0,0,1,0.178529,0.10834,0.106083,o
579,16,3,2.33527,14.1366,0.514131,1,0,0,0,1,0,3.0364,1.7812,0.550036,o
580,16,2,2.31825,14.0885,2.61974,1,0,0,0,1,0,2.93381,1.72226,0.0525222,o
581,16,6,1.23911,15.1266,0.539517,0,0,1,0.707107,0.707107,-0,0.516474,0.419126,0.382167,o
582,16,0,1.40886,12.664,1.32405,1,0,0,-0,0,1,2.13268,1.33116,0.312234,o
583,16,13,-0.636796,13.2547,1.42803,0,0,1,0,1,-0,1.09942,0.831744,0.149385,o
584,16,12,4.40285,12.7295,1.24847,0,0,1,1,0,0,1.26783,0.945277,0.243352,o
585,16,13,2.75806,15.7713,1.41783,0,0,1,1,0,0,1.04458,0.33502,0.134223,o
586,16,0,2.36495,14.1482,1.31504,-1,2.22045e-16,0,2.22045e-16,1,0,3.1055,1.78494,1.33682,o
587,16,13,3.87841,15.8221,1.40834,0,0,1,1,0,0,1.0762,0.715106,0.170906,o
588,16,17,-0.737359,14.0674,1.40186,2.22045e-16,1,0,-0,0,1,1.65878,0.912281,0.136528,o
589,16,13,5.23335,15.0168,1.46549,0,0,1,0,1,-0,1.07728,0.71895,0.149593,o
590,16,15,2.0043,14.9695,1.16569,0,0,1,-0.382683,-0.92388,0,0.233853,0.144874,0.105385,o
591,16,1,0.629364,12.3752,1.03213,0,0,1,-1,2.22045e-16,0,1.03099,0.539438,0.0495791,o
592,16,13,-0.641074,14.7976,1.39577,0,0,1,2.22045e-16,1,-0,1.07544,0.938632,0.20851,o
593,16,51,2.20765,12.9461,0.656818,-1,2.22045e-16,0,0,0,1,1.04002,0.672251,0.407539,o
