object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
105,5,0,8.27753,5.80484,1.34154,2.22045e-16,1,0,-1,2.22045e-16,0,2.16723,1.82454,1.33676,b
106,5,3,8.27317,5.79382,0.103652,0,1,0,1,-0,0,2.15756,1.81609,0.114733,b
107,5,2,8.31212,5.79365,2.6096,0,1,0,1,-0,0,2.14901,1.78001,0.0801493,b
108,5,5,8.66598,8.03586,1.54061,-1,2.22045e-16,0,0,0,1,1.10047,0.695555,0.219274,b
109,5,19,9.15756,4.22551,1.18078,0,0,1,-1,2.22045e-16,0,1.15589,0.780794,0.0800271,b
110,5,25,8.94828,6.22064,0.347819,1,0,0,0,1,0,1.00658,0.958678,0.345274,b
111,5,1,6.8894,3.80622,1.19936,0,0,1,-1,2.22045e-16,0,1.18019,0.475976,0.10188,b
112,5,9,9.82441,6.52219,0.940483,2.22045e-16,1,0,-1,2.22045e-16,0,0.393598,0.142033,0.0995508,b
113,5,39,8.61222,5.99153,1.33503,0,1,0,1,-0,0,2.26152,1.47388,1.32397,b
114,5,10,9.88114,7.08555,0.698795,-0.92388,0.382683,0,0.382683,0.92388,0,0.220398,0.135991,0.100694,b
115,5,9,9.55901,5.9955,0.771677,2.22045e-16,1,0,-1,2.22045e-16,0,0.422395,0.207814,0.192924,b
116,5,176,9.85356,5.20718,0.342521,0,0,1,0,1,-0,0.328081,0.305041,0.229181,b
117,5,170,7.37387,7.69313,0.787554,0,0,1,0,1,-0,0.775954,0.275947,0.267973,b
118,5,9,9.13956,6.20041,0.799133,0.707107,0.707107,0,-0,0,1,0.226461,0.209186,0.198437,b
119,5,9,9.30605,6.01161,0.788871,0,1,0,0,0,1,0.244987,0.195256,0.124144,b
120,5,9,9.6359,6.5672,0.780464,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.393623,0.196528,0.183766,b
121,5,139,9.9904,6.22187,0.866103,0,1,0,0,0,1,0.742584,0.385883,0.085515,b
122,5,9,9.83005,5.94835,0.806816,0,1,0,0,0,1,0.334718,0.247519,0.13477,b
123,5,68,9.90382,5.06905,0.877914,0,0,1,1,0,0,0.256292,0.173941,0.0636997,b
124,5,10,9.96147,5.3147,0.727549,-0.92388,-0.382683,0,0,0,1,0.144747,0.118757,0.0928363,b
125,5,9,9.37906,6.53027,0.811062,0,1,0,0,0,1,0.228871,0.203577,0.159887,b
126,5,4,10.0635,6.52418,1.72215,0,0,1,0,1,-0,0.355735,0.283332,0.0151815,b
127,5,4,10.0667,5.86671,1.73647,0,0,1,0,1,-0,0.291609,0.287094,0.0164018,b
128,5,176,9.76286,7.17496,0.393404,-1,2.22045e-16,0,0,0,1,0.312931,0.295823,0.284055,b
129,5,4,7.14168,6.68781,1.56133,0,0,1,0,1,-0,0.319803,0.148275,0.0144203,b
130,5,4,7.13637,7.05834,1.57301,0,0,1,2.22045e-16,1,-0,0.331778,0.173104,0.0174572,b
131,5,4,7.14049,6.35025,1.58326,0,0,1,0,1,-0,0.341307,0.149319,0.0130301,b
